Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;;;;;;ASAMBLEA MORONERA ALTERNATIVA;2.432;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;HOLA PEDANIAS;2.394;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;COALICIÓN ELECTORAL PARTIDOS MÁS CAMARENA-TORRE EN CONILL;2.372;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;GENT FENT POBLE;2.358;0,01;0,01;0,01;Concejales;9
4;202305;;;;;;ASAMBLEA POR LA OROTAVA;2.348;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;ANDO SATAUTE;2.344;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;UNITS PER CARCAIXENT;2.268;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;ELS VERDS-ALTERNATIVA VERDA;2.258;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;SIEMPRE-PARTIDO MUNICIPALISTA;2.244;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;CUENCA NOS UNE;2.244;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;GRUPO LOCAL INDEPENDIENTE DE TORREJON DE LA CALZADA;2.241;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;PALOMARES, UN PASO MÁS;2.210;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;ALTERNATIVA INDEPENDIENTE - PROGRESISTAS;2.197;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;AIKE;2.185;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;MESA DE LA RÍA DE HUELVA;2.182;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;TORRELAVEGA SÍ;2.180;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;AHORA CÁDIZ;2.169;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;POBLE UNIT SER;2.160;0,01;0,01;0,01;Concejales;11
4;202305;;;;;;PARTIDO FEMINISTA DE ESPAÑA;2.156;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;VECINOS POR RUBÍ - VEÏNS PER RUBÍ;2.146;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;VECINOS X LLANES;2.126;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;HACER NACION;2.123;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;EL BIERZO-ASTORGA CONTIGO;2.112;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;ZARAGOZA YA;2.104;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;POR MÉRIDA;2.103;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;UNIDOS POR YAIZA;2.102;0,01;0,01;0,01;Concejales;9
4;202305;;;;;;INDEPENDENTS UNITS PER SANT FOST;2.100;0,01;0,01;0,01;Concejales;9
4;202305;;;;;;UNION DEMOCRATICA INDEPENDIENTE MONTOREÑA;2.089;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;ASAMBLEA DE VECINOS DE SAN MATEO;2.079;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;SOM CASTELLO;2.075;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;AGRUPACION CIUDADANA INDEPENDIENTE PARA ARANJUEZ;2.070;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;GUZAN;2.064;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;AGRUPACIÓ D'ELECTORS ARA MAÓ;2.061;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;PARTIDO HUMANISTA;2.040;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;ZALLA BAI;2.039;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;ALMERIENSES - REGIONALISTAS PRO ALMERÍA;2.034;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;VERDES EQUO-IZQUIERDA UNIDA;2.032;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;JUNTS PER TIANA;2.026;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;JUNTOS POR LA CAMPANA;2.015;0,01;0,01;0,01;Concejales;10
4;202305;;;;;;VECINOS POR ARROYOMOLINOS;2.008;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;ASOCIACION DE BARRIOS ASBA;2.006;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;ALTERNATIVA CIUDADANA DE PONTEAREAS;1.998;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;AGRUPACION DE ELECTORES 'PRIMERO TOLEDO';1.986;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;SAN ROQUE 100X100;1.974;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;COLECTIVO INDEPENDIENTE OLIVERO;1.969;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;POR MI REGIÓN;1.968;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;VECINOS POR VALDEMORO;1.965;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;VECIÑOS DE MEAÑO;1.964;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;BABORD;1.957;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;PROGRESO EN VERDE PACMA;1.938;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;PARTIDO SANTOÑESES;1.924;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;SÍ SE PUEDE;1.904;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;JOVENES Y PENSIONISTAS DECIDIMOS;1.903;0,01;0,01;0,01;Concejales;2
